"",order,costum,collect,prod,barcode,weight,pacs
1828,25416,152667.0,2018-07-01,50108,NaN,10.20,1
1829,25416,152667.0,2018-07-01,50108,NaN,10.25,1
1830,25416,152667.0,2018-07-01,50108,NaN,10.40,1
1831,25416,152667.0,2018-07-01,50108,NaN,10.65,1
1832,25416,152667.0,2018-07-01,50118,6220578,6.70,1
1833,25416,152667.0,2018-07-01,50118,6220578,7.85,1
1834,25416,152667.0,2018-07-01,50118,6220578,7.60,1
1835,25416,152667.0,2018-07-01,50118,6220578,7.35,1
1836,25416,152667.0,2018-07-01,50118,6220578,6.90,1
1837,25416,152667.0,2018-07-01,50118,6220578,7.50,1
1853,25418,1500083.0,2018-07-01,50102,NaN,11.48,1
1854,25418,1500083.0,2018-07-01,50102,NaN,14.28,1
1855,25418,1500083.0,2018-07-01,50102,NaN,15.41,1
1856,25418,1500083.0,2018-07-01,50102,NaN,11.02,1
1857,25418,1500083.0,2018-07-01,50102,NaN,11.40,1
1858,25418,1500083.0,2018-07-01,50102,NaN,11.68,1
1859,25418,1500083.0,2018-07-01,50102,NaN,11.82,1
1860,25418,1500083.0,2018-07-01,50102,NaN,11.84,1
1861,25418,1500083.0,2018-07-01,50102,NaN,11.90,1
1862,25418,1500083.0,2018-07-01,50102,NaN,11.96,1
1863,25418,1500083.0,2018-07-01,50102,NaN,12.40,1
1864,25418,1500083.0,2018-07-01,50102,NaN,12.48,1
1865,25418,1500083.0,2018-07-01,50102,NaN,12.54,1
1866,25418,1500083.0,2018-07-01,50102,NaN,12.70,1
1867,25418,1500083.0,2018-07-01,50102,NaN,12.90,1
1868,25418,1500083.0,2018-07-01,50102,NaN,12.06,1
1869,25418,1500083.0,2018-07-01,50102,NaN,12.58,1
1870,25418,1500083.0,2018-07-01,50102,NaN,11.76,1
1871,25418,1500083.0,2018-07-01,50102,NaN,11.92,1
1872,25418,1500083.0,2018-07-01,50102,NaN,12.68,1
1873,25418,1500083.0,2018-07-01,50102,NaN,14.08,1
1874,25418,1500083.0,2018-07-01,50102,NaN,15.18,1
1875,25418,1500083.0,2018-07-01,50102,NaN,12.06,1
1876,25418,1500083.0,2018-07-01,50102,NaN,11.42,1
1877,25418,1500083.0,2018-07-01,50102,NaN,11.60,1
1878,25418,1500083.0,2018-07-01,50102,NaN,11.74,1
1879,25418,1500083.0,2018-07-01,50102,NaN,12.12,1
1880,25418,1500083.0,2018-07-01,50102,NaN,12.32,1
1881,25418,1500083.0,2018-07-01,50102,NaN,12.36,1
1882,25418,1500083.0,2018-07-01,50102,NaN,12.66,1
1883,25418,1500083.0,2018-07-01,50108,NaN,9.95,1
1884,25418,1500083.0,2018-07-01,9026,1369388,10.00,1
1885,25419,157186.0,2018-07-01,122082C,8614221,23.76,1
1886,25419,157186.0,2018-07-01,122082C,8614221,27.16,1
1887,25419,157186.0,2018-07-01,122082C,8614221,22.98,1
1888,25419,157186.0,2018-07-01,14162S,3796984,24.66,1
1889,25419,157186.0,2018-07-01,14162S,3796984,21.30,1
1890,25419,157186.0,2018-07-01,14162S,3796984,25.54,1
1891,25419,157186.0,2018-07-01,220226,NaN,10.44,1
1892,25419,157186.0,2018-07-01,220226,NaN,16.82,1
1893,25419,157186.0,2018-07-01,13451S,8469548,23.06,1
1894,25419,157186.0,2018-07-01,13451S,8469548,22.42,1
1895,25419,157186.0,2018-07-01,13451S,8469548,25.26,1
1896,25419,157186.0,2018-07-01,13451S,8469548,22.81,1
1897,25420,152806.0,2018-07-01,14162S,3796984,21.54,1
1898,25420,152806.0,2018-07-01,9018,NaN,14.00,1
1899,25420,152806.0,2018-07-01,15162C,8614252,22.28,1
1900,25420,152806.0,2018-07-01,12162CB,8614221,24.94,1
1901,25421,152302.0,2018-07-01,14162C,8614245,21.08,1
1902,25421,152302.0,2018-07-01,14162C,8614245,20.42,1
1903,25421,152302.0,2018-07-01,8051,1369913,100.00,10
1904,25421,152302.0,2018-07-01,9018,NaN,13.30,1
1905,25421,152302.0,2018-07-01,18451C,8469500,29.50,1
1906,25421,152302.0,2018-07-01,12162CB,8614221,24.28,1
1907,25421,152302.0,2018-07-01,12162CB,8614221,27.38,1
1928,25425,151234.0,2018-07-01,1162CGVPPS-3,8614214,21.40,1
1929,25425,151234.0,2018-07-01,1162CGVPPS-3,8614214,21.58,1
1930,25425,151234.0,2018-07-01,12162CB,8614221,25.02,1
1931,25425,151234.0,2018-07-01,12162CB,8614221,25.12,1
1932,25425,151234.0,2018-07-01,12162CB,8614221,25.48,1
1933,25425,151234.0,2018-07-01,12162CB,8614221,25.62,1
1934,25425,151234.0,2018-07-01,12162CB,8614221,22.22,1
1935,25425,151234.0,2018-07-01,12162CB,8614221,22.28,1
1936,25425,151234.0,2018-07-01,12162CB,8614221,24.78,1
1937,25425,151234.0,2018-07-01,12162CB,8614221,20.76,1
1938,25425,151234.0,2018-07-01,12162CB,8614221,27.08,1
1939,25425,151234.0,2018-07-01,12162CB,8614221,28.54,1
1940,25426,157092.0,2018-07-01,18451SB,1369876,29.47,1
1941,25426,157092.0,2018-07-01,18451SB,1369876,28.60,1
1942,25426,157092.0,2018-07-01,18451SB,1369876,27.34,1
1943,25426,157092.0,2018-07-01,18451SB,1369876,26.52,1
1944,25426,157092.0,2018-07-01,18451SB,1369876,26.79,1
1945,25426,157092.0,2018-07-01,18451SB,1369876,28.06,1
1946,25426,157092.0,2018-07-01,18451SB,1369876,29.09,1
1947,25426,157092.0,2018-07-01,18451SB,1369876,26.46,1
1990,25427,152742.0,2018-07-01,9018,NaN,13.50,1
1991,25427,152742.0,2018-07-01,9018,NaN,14.10,1
1992,25427,152742.0,2018-07-01,9018,NaN,13.60,1
1993,25427,152742.0,2018-07-01,4005-7,8469975,30.00,3
1994,25427,152742.0,2018-07-01,12162CB,8614221,22.50,1
1995,25427,152742.0,2018-07-01,12162CB,8614221,24.36,1
1996,25427,152742.0,2018-07-01,12162CB,8614221,28.08,1
1997,25427,152742.0,2018-07-01,12162CB,8614221,19.74,1
1998,25427,152742.0,2018-07-01,12162CB,8614221,23.46,1
1999,25427,152742.0,2018-07-01,12162CB,8614221,25.82,1
2000,25427,152742.0,2018-07-01,12162CB,8614221,26.12,1
2001,25427,152742.0,2018-07-01,12162CB,8614221,21.78,1
2002,25427,152742.0,2018-07-01,12162CB,8614221,21.50,1
2003,25427,152742.0,2018-07-01,12162CB,8614221,22.98,1
2004,25427,152742.0,2018-07-01,12162CB,8614221,23.80,1
2005,25427,152742.0,2018-07-01,12162CB,8614221,23.92,1
2060,25431,157749.0,2018-07-01,14162S,3796984,1012.34,45
2061,25431,157749.0,2018-07-01,14162S,3796984,1028.66,45
2062,25431,157749.0,2018-07-01,14162SP,3796984,1071.52,45
2063,25431,157749.0,2018-07-01,14162SP,3796984,1039.98,45
2064,25432,157098.0,2018-07-01,18451SB,1369876,28.62,1
