"",order,costum,collect,prod,barcode,weight,pacs
20,25321,157106.0,2018-01-01,112082CGVPS3,8614993,21.77,1
21,25321,157106.0,2018-01-01,112082CGVPS3,8614993,11.13,1
38,25252,15200001.0,2018-01-01,331l,3796076,36.00,3
39,25252,15200001.0,2018-01-01,6001,3020541/2695387,10.31,1
40,25252,15200001.0,2018-01-01,6001,3020541/2695387,10.95,1
41,25252,15200001.0,2018-01-01,6001,3020541/2695387,11.83,1
82,25252,15200001.0,2018-01-01,6001,3020541/2695387,9.56,1
83,25252,15200001.0,2018-01-01,6001,3020541/2695387,10.45,1
84,25252,15200001.0,2018-01-01,6001,3020541/2695387,10.88,1
85,25252,15200001.0,2018-01-01,6001,3020541/2695387,10.99,1
86,25252,15200001.0,2018-01-01,6001,3020541/2695387,10.02,1
87,25252,15200001.0,2018-01-01,4005-7,8469975,160.00,16
88,25276,152848.0,2018-01-01,11162CGVM3,8614214,23.32,1
89,25276,152848.0,2018-01-01,122082S,3796649,22.89,1
90,25276,152848.0,2018-01-01,122082S,3796649,22.87,1
91,25276,152848.0,2018-01-01,122082S,3796649,23.04,1
92,25276,152848.0,2018-01-01,122082S,3796649,20.84,1
93,25276,152848.0,2018-01-01,122082S,3796649,21.14,1
94,25276,152848.0,2018-01-01,132082C,8614238,23.21,1
95,25276,152848.0,2018-01-01,132082C,8614238,24.13,1
96,25276,152848.0,2018-01-01,132082C,8614238,26.99,1
97,25276,152848.0,2018-01-01,17162CHL,8614276,18.46,1
98,25276,152848.0,2018-01-01,17162CHL,8614276,20.76,1
99,25276,152848.0,2018-01-01,331l,3796076,24.00,2
100,25276,152848.0,2018-01-01,3710,1369050,10.00,1
101,25276,152848.0,2018-01-01,37160,NaN,21.00,1
102,25276,152848.0,2018-01-01,18162HL,3796908,24.00,1
103,25276,152848.0,2018-01-01,18162HL,3796908,20.38,1
104,25276,152848.0,2018-01-01,4005-7,8469975,50.00,5
105,25276,152848.0,2018-01-01,9081,8614207,22.30,1
106,25276,152848.0,2018-01-01,122082C,8614221,24.18,1
107,25276,152848.0,2018-01-01,122082C,8614221,28.16,1
129,25276,152848.0,2018-01-01,14162SP,3796984,25.30,1
130,25276,152848.0,2018-01-01,14162SP,3796984,20.94,1
131,25276,152848.0,2018-01-01,14162SP,3796984,23.48,1
132,25276,152848.0,2018-01-01,14162SP,3796984,23.60,1
136,25303,151586.0,2018-01-01,122082S,3796649,18.87,1
137,25303,151586.0,2018-01-01,122082S,3796649,25.76,1
138,25303,151586.0,2018-01-01,122082S,3796649,24.90,1
139,25303,151586.0,2018-01-01,122082S,3796649,16.86,1
140,25303,151586.0,2018-01-01,122082S,3796649,22.59,1
141,25303,151586.0,2018-01-01,122082S,3796649,26.01,1
142,25303,151586.0,2018-01-01,122082S,3796649,24.90,1
143,25303,151586.0,2018-01-01,122082S,3796649,27.34,1
